ID,TITLE,AUTHOR,NR,GEN,DESCRIERE,COVER,
15,Inferno,Dante Alighieri,3,Classic,"Dante journeys through Hell, guided by Virgil, witnessing sinners' torments. It allegorically explores justice, sin, and divine order, using vivid imagery and poetic structure to reflect a medieval Christian worldview.","https://m.media-amazon.com/images/I/81djhqZv9tL._UF1000,1000_QL80_.jpg",
16,1984,George Orwell,5,Classic,"In a dystopian future, Winston Smith resists a totalitarian regime that controls truth and reality. Orwell’s chilling novel examines surveillance, propaganda, censorship, and the loss of individuality under oppressive political power.",https://cdn.dc5.ro/img-prod/258717-1.jpeg,
17,Animal Farm,George Orwell,3,Classic,"A satirical allegory of the Russian Revolution, animals overthrow humans and form their own government. Power corrupts, and idealism fades as new tyranny emerges. Orwell critiques totalitarianism and the betrayal of revolutionary ideals.",https://i0.wp.com/paperlanternslit.com/wp-content/uploads/2021/03/AnimalFarm-1.jpg?fit=1535%2C2339&ssl=1,
18,The Bible,God,1,Religion,"A sacred text for Christians, comprising the Old and New Testaments. It includes history, poetry, prophecy, and moral teachings, shaping theology, culture, and ethics through stories of creation, covenant, redemption, and divine revelation.",https://www.egumenita.ro/admin/upload/1/imagini-carti/21314701b2abe1ac64339804599955f192045fa9.jpg,
19,The Intelligent Investor,Benjamin Graham,3,Economy,"Benjamin Graham’s seminal work on value investing teaches principles of financial discipline, long-term strategy, and minimizing risk. It emphasizes investor psychology and rational decision-making, offering timeless advice for building wealth wisely and patiently.","https://m.media-amazon.com/images/I/71piwvkH0sL._UF1000,1000_QL80_.jpg",
20,Dune ,Frank Herbert,3,SF,"Dune by Frank Herbert is a science fiction epic about politics, religion, and ecology, centered on Paul Atreides, who rises amidst betrayal and prophecy on the desert planet Arrakis, the universe's sole source of the powerful spice melange.",https://hunterpaperco.com/cdn/shop/files/hbg-title-9781473233959-117_800x.webp?v=1736510169,
21,Foundation,Isaac Asimov,4,SF,"Foundation by Isaac Asimov follows mathematician Hari Seldon’s plan to preserve knowledge and shorten a coming dark age, using “psychohistory” to guide humanity’s future across a crumbling Galactic Empire through a secretive scientific outpost called the Foundation.",https://upload.wikimedia.org/wikipedia/en/d/d9/Foundation_-_Isaac_Asimov_%28Gnome_1951%29.jpg,
22,Poezii,Mihai Eminescu,10,Poetry,"Mihai Eminescu’s poems blend Romanian folklore, nature, love, and philosophy, exploring themes of time, existence, and longing with lyrical beauty and romantic depth, making him Romania’s national poet and a pillar of its literary heritage.",https://www.edituracartex.ro/wp-content/uploads/2019/06/poezii_Eminescu.jpg,
23,The Count of Monte Cristo,Alexandre Dumas,1,Action,"The story takes place in France, Italy, and islands in the Mediterranean during the historical events of 1815–1839: the era of the Bourbon Restoration through the reign of Louis Philippe I.  first island of exile, Elba, beginning the Hundred Days period of his return to power. The historical setting is a fundamental element of the book, an adventure story centrally concerned with themes of hope, justice, vengeance, mercy, and forgiveness.",https://sterling-us.imgix.net/covers/9781454959915.jpg?auto=format&h=648,
24,The Godfather,Mario Puzo,2,Action,"A gripping saga of the Corleone crime family, exploring power, loyalty, and betrayal in the Mafia underworld, as Michael Corleone transforms from reluctant outsider to ruthless leader in a world ruled by honor and blood.","https://m.media-amazon.com/images/I/51t39SMRzjL._AC_UF1000,1000_QL80_.jpg",
25,The Da Vinci Code,Dan Brown,1,Action,"A fast-paced thriller following symbologist Robert Langdon as he uncovers secrets hidden in art and history, unraveling a conspiracy tied to the Holy Grail and a secret society guarding powerful religious truths.",https://upload.wikimedia.org/wikipedia/en/6/6b/DaVinciCode.jpg,
26,Around the World in 80 Days,Jules Verne,4,Adventure,"Phileas Fogg bets he can circumnavigate the globe in 80 days, embarking on an adventurous journey filled with challenges, clever escapes, and colorful encounters, showcasing human ingenuity and the excitement of global exploration.",https://cdn.dc5.ro/img-prod/251047749-0-240.jpeg,
27,Journey to the Centre of the Earth,Jules Verne,3,Adventure,"A daring expedition descends into Earth’s core through an Icelandic volcano, encountering prehistoric creatures and natural wonders in a thrilling blend of science and imagination beneath the planet’s surface.
",https://i0.books-express.ro/be/9780451532152/a-journey-to-the-center-of-the-earth.jpg,
28,Twenty Thousand Leagues Under the Sea,Jules Verne,3,Adventure,"Captain Nemo’s submarine, the Nautilus, takes a crew on deep-sea adventures across the world’s oceans, revealing marine marvels, sunken ruins, and philosophical reflections on freedom, isolation, and revenge.",https://cdn.dc5.ro/img-prod/9781853260315-2604679-240.jpg,
29,The Mysterious Island,Jules Verne,3,Adventure,"Five castaways use science and resourcefulness to survive on a remote island, uncovering secrets, facing dangers, and encountering the enigmatic Captain Nemo in a story of resilience and discovery.",https://cdn4.volusion.store/zjhys-xrwrf/v/vspfiles/photos/LTD4189577-2.jpg,
30,Guliver's Travels,Jonathan Swift,2,Adventure,"Lemuel Gulliver journeys to fantastical lands—tiny people, giants, talking horses—offering sharp satire of human nature, politics, and society through surreal adventures that blur the line between absurdity and truth.","https://m.media-amazon.com/images/I/713jT-p8vsL._UF1000,1000_QL80_.jpg",
31,Adventure of Tom Sawyer,Mark Twain,3,Adventure,"Tom Sawyer navigates boyhood along the Mississippi River, full of mischief, friendship, and adventure—from treasure hunts to faked deaths—in a nostalgic, humorous portrait of American childhood.
","https://m.media-amazon.com/images/I/41fK2D8MUjL._AC_UF1000,1000_QL80_.jpg",
32,The Adventures of Huckleberry  Finn,Mark Twain,2,Adventure,"Huck Finn flees civilization and journeys down the Mississippi with Jim, an escaped slave, confronting moral dilemmas, freedom, and racism in a profound tale of adventure and conscience in 19th-century America.
",https://sterling-us.imgix.net/covers/9781402726002.jpg?auto=format&h=648,
33,Don Quixote,Miguel de Cervantes,4,Adventure,"A deluded nobleman becomes a self-styled knight, embarking on absurd quests with his squire Sancho Panza. Blending comedy and tragedy, the novel satirizes chivalry while exploring idealism, reality, and the human spirit.","https://m.media-amazon.com/images/I/71mbJoazlCL._AC_UF1000,1000_QL80_.jpg","https://m.media-amazon.com/images/I/71mbJoazlCL._AC_UF1000,1000_QL80_.jpg"
34,Le Bossu, Paul Féval,2,Action,"A tale of revenge, honor, and swordplay, Le Bossu follows nobleman Lagardère as he adopts a hunchback disguise to protect a young heiress and expose a murderous conspiracy in swashbuckling 18th-century France.",https://pictures.abebooks.com/inventory/21879455251.jpg,
35,A Song of Ice and Fire,George R.R Martin,5,Adventure,"An epic fantasy saga of rival houses, political intrigue, war, and dragons, set in the brutal world of Westeros, where power shifts and prophecies unfold amidst a looming supernatural threat beyond the Wall.",https://upload.wikimedia.org/wikipedia/en/d/dc/A_Song_of_Ice_and_Fire_book_collection_box_set_cover.jpg,
36,Taiko,Eiji Yoshikawa,1,Historical,"A sweeping historical novel tracing the rise of Toyotomi Hideyoshi—from peasant to Japan’s unifier—amidst the chaos of the Sengoku era, blending war, politics, and personal ambition in a vivid portrayal of feudal Japan.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348457306i/336228.jpg,
37,Shogun,James Clavell,4,Historical,"An English navigator shipwrecks in 17th-century Japan and becomes entangled in samurai politics, culture, and warfare, transforming amidst a clash of civilizations in this immersive historical epic of power, loyalty, and adaptation.",https://img1.od-cdn.com/ImageType-100/0887-1/%7BBB26FAAD-ABEB-431A-84E6-3C041980F78F%7DIMG100.JPG,
38,Can't Hurt Me,David Goggins,1,Biography,"This man ran a whole marathon alone,then he wrote a book.If he can do it,you can do it.",https://cdn.dc5.ro/img-prod/280655628-0.jpeg,
39,The Life of John D Rockefeller,Ron Chernow,1,Biography,"A sweeping biography of America’s first billionaire, tracing Rockefeller’s rise from modest beginnings to oil empire magnate, while exploring his ruthless business tactics, philanthropy, faith, and lasting impact on capitalism and American society",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1386925052i/16121.jpg,
40,Sergiu altfel,Ioana Celibidache,1,Biography,"Sergiu Celibidache was a Romanian conductor and philosopher known for his deeply spiritual approach to music. Rejecting recordings, he emphasized live performance and phenomenology, shaping each concert as a unique, transcendent experience of time, sound, and presence.",https://cdn.dc5.ro/img-prod/4355076116-0-240.jpeg,
41,V for Vendetta,Alan Moore,3,Comic Books,"In a dystopian future Britain ruled by tyranny, a masked vigilante named V fights fascism with theatrical rebellion, inspiring a young woman and a nation to rise through symbolism, anarchy, and vengeance.","https://m.media-amazon.com/images/I/612jURJ-GGL._AC_UF1000,1000_QL80_.jpg",
42,The Complete Maus,Art Spiegelman,3,Comic Books,"A powerful graphic memoir portraying the Holocaust through anthropomorphic characters, Maus recounts the survival story of the author’s father while exploring trauma, memory, and the burden of inherited history.",https://cdn.dc5.ro/img-prod/15727-2.jpeg,
43,Cook with Jamie,Jamie Oliver,2,CookBooks,"Jamie Oliver offers essential cooking skills and easy, flavorful recipes, aiming to teach beginners and home cooks how to create wholesome, satisfying meals while gaining confidence and joy in the kitchen.",https://cdn.dc5.ro/img-prod/214409-2551923-240.jpeg,
44,Gordon Ramsay Makes it Easy,Gordon Ramsay,3,CookBooks,"Celebrity chef Gordon Ramsay simplifies gourmet cooking with approachable, elegant recipes, offering practical tips and techniques to help home cooks prepare delicious dishes with confidence and efficiency.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1403182740i/3116.jpg,
45,Like Mamma Used to Made,Gino  D'Acampo,2,CookBooks,"A nostalgic collection of comforting, traditional recipes inspired by homemade, family-style cooking—featuring timeless classics that evoke the warmth and simplicity of meals lovingly prepared by mothers.",https://i3.books-express.ro/be/9781526632630/gino-s-italy.jpg,
46,The Complete Robuchon, Joël Robuchon,2,CookBooks,"A masterwork of French cuisine, this comprehensive cookbook presents over 800 refined yet accessible recipes from one of the world’s greatest chefs, emphasizing technique, tradition, and culinary excellence.","https://m.media-amazon.com/images/I/41go6EwrnhL._AC_UF1000,1000_QL80_.jpg",
47,Wuthering Heights,Emily Brontë,6,Drama,"A dark, gothic tale of passion and revenge on the Yorkshire moors, chronicling the doomed love between Heathcliff and Catherine, and the generational curses that echo through their entangled families.","https://m.media-amazon.com/images/I/81-jFO1dm8L._AC_UF894,1000_QL80_.jpg",
48,Hamlet,William Shakespear,10,Drama,"Prince Hamlet seeks vengeance for his father’s murder in a tale of madness, betrayal, and existential crisis, delivering some of literature’s most profound reflections on life, death, and morality.","https://m.media-amazon.com/images/I/61zV-mNUd4L._AC_UF1000,1000_QL80_.jpg",
49,The Fault in Our Stars,John Green,3,Drama,"Two teens with cancer fall in love and confront mortality with humor, pain, and insight in a moving story about love, loss, and finding meaning in the face of the inevitable.",https://cdn.dc5.ro/img-prod/9780141345659-2114367.jpg,
50,Romeo and Juliet,William Shakespear,10,Drama,"A tragic tale of young love doomed by family feuds, Romeo and Juliet explores passion, fate, and impulsive choices, culminating in one of the most iconic deaths in literary history.","https://m.media-amazon.com/images/I/61urB+bw1UL._AC_UF1000,1000_QL80_.jpg",
51,Pride and Prejudice,Jane Austen,5,Drama,"Elizabeth Bennet navigates love, class, and social expectations in 19th-century England, clashing with the proud Mr. Darcy in a witty and romantic critique of manners and marriage.",https://m.media-amazon.com/images/I/81a3sr-RgdL.jpg,
52,Principles of Economics,Alfred Marshall,4,Economy,"Foundational economics text introducing supply and demand, marginal utility, and cost of production, shaping modern economic theory and bridging classical and neoclassical schools of thought.",https://cdn4.libris.ro/img/pozeprod/13110/13109650-1.jpg,
53,The Wealth of Nations,Adam Smith,2,Economy,"A landmark in economic thought, exploring free markets, division of labor, and the “invisible hand,” laying the groundwork for capitalism and modern economics.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1567191193i/25698.jpg,
54,Memoirs of a Geisha,Arthur Golden,5,Historical,"A fictional autobiography of a geisha in 20th-century Japan, capturing her rise, struggles, and inner world amidst cultural transformation.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1409595968i/929.jpg,
55,Coraline,Neil Gaiman,3,Horror,"A dark fantasy where a brave girl discovers an eerie alternate world behind a door, facing creepy doubles and the sinister Other Mother.",https://upload.wikimedia.org/wikipedia/ro/6/61/Coraline.jpg,
56,The Exorcist,William Peter Blatty,5,Horror,"A chilling tale of demonic possession and spiritual warfare, as a priest confronts evil inhabiting a young girl in this horror classic.",https://media1.popsugar-assets.com/files/thumbor/La0wfJuSwq2J_Hv9G_hKWtINrzU=/fit-in/792x1193/filters:format_auto():upscale()/2023/10/05/814/n/1922283/efe05679651f0139f0f553.15836895_612y1xDU_lL..jpg,
57,It,Stephen King,10,Horror,"Seven children face a shape-shifting, ancient evil haunting their town, returning as adults to confront the horror that never truly left.","https://s3.r29static.com/bin/entry/754/x,80/2030551/image.jpg",
58,The Shining,Stephen King,4,Horror,"A writer becomes caretaker of an isolated hotel, where malevolent forces unravel his sanity, threatening his family in a chilling psychological horror.",https://www.boredpanda.com/blog/wp-content/uploads/2022/06/horror-books-4-62a9e0e70c305__700.jpg,
59,Sherlock Holmes,Arthur Conan Doyle,3,Mystery,"The legendary detective uses keen observation and logic to solve complex mysteries, accompanied by his loyal friend Dr. Watson in Victorian London.",https://i4.books-express.ro/be/9781802792546/the-complete-sherlock-holmes-collection.jpg,
60,Five Little Pigs,Agatha Christie,3,Mystery,"Hercule Poirot investigates a murder from the past, interviewing five suspects to uncover the truth behind a long-unsolved case of love and revenge.",https://beautifulbooks.info/wp-content/uploads/2023/04/christie-HC-special-ed-five-little-pigs-scaled.jpg,
61,Murder on the Orient Express,Agatha Christie,5,Mystery,"Detective Poirot solves a murder aboard a luxury train, uncovering secrets and justice in one of Christie’s most ingenious, tightly plotted mysteries.",https://cdn.dc5.ro/img-prod/284069-0.jpeg,
62,The Murder of Roger Ackroyd,Agatha Christie,6,Mystery,"Poirot investigates a wealthy man’s murder in a village, leading to a shocking twist that redefined detective fiction.",https://cdn.dc5.ro/img-prod/2007694241-0.jpeg,
63,Death on the Nile,Agatha Christie,5,Mystery,"A glamorous river cruise turns deadly, and Poirot must unravel a web of jealousy and deception in this exotic, suspenseful whodunit.",https://cdn.dc5.ro/img-prod/25711704-0.jpeg,
64,The World as Will and Representation,Arthur Schopenhauer,3,Philosophy,"A metaphysical work proposing that reality is driven by irrational will, with suffering as central to existence, blending Western philosophy with Eastern thought.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1386924341i/19506.jpg,
65,Novels,Franz Kafka,5,Philosophy,"Kafka’s surreal, existential works—like The Trial and The Castle—depict alienation, absurd bureaucracy, and a man’s struggle against incomprehensible systems.","https://m.media-amazon.com/images/I/81Fa296VhvL._UF1000,1000_QL80_.jpg",
66,The Will to Power,Friedrich Nietzsche,5,Philosophy,"A posthumous collection exploring Nietzsche’s concept of life as a struggle for dominance, touching on morality, nihilism, and the future of humanity.",https://media.elefant.ro/mnresize/150/150/is/product-images/carte-straina/bertram/e588a470/2e17/415a/9a3d/0dfb372ec785/e588a470-2e17-415a-9a3d-0dfb372ec785_1.jpg,
67,The Birth of Tragedy,Friedrich Nietzsche,4,Philosophy,"Nietzsche’s first major work, contrasting the Apollonian and Dionysian in Greek tragedy, exploring art, suffering, and the origins of culture.","https://m.media-amazon.com/images/I/51JDf0+DIOL._AC_UF1000,1000_QL80_.jpg",
68,Beyond Good and Evil,Friedrich Nietzsche,4,Philosophy,"A critique of traditional morality, Nietzsche urges a reevaluation of values and champions individual will, philosophical courage, and the creation of new truths.",https://s1.cel.ro/images/mari/2024/05/02/beyond-good-and-evil-friedrich-wilhelm-nietzsche-author-15740159.jpg,
69,Fear and Trembling,Soren Kierkegaard,5,Philosophy,"A philosophical reflection on faith and ethics, centering on Abraham’s sacrifice, exploring the paradox of religious belief and the ""leap of faith.""","https://m.media-amazon.com/images/I/51X1qExl0tL._AC_UF1000,1000_QL80_.jpg",
70,Love is a Dog from Hell,Charles Bukowski,4,Poetry,"A raw, gritty poetry collection exploring love, loneliness, sex, and the human condition. Bukowski’s voice is unfiltered and brutally honest, capturing beauty and despair in everyday life with biting humor and emotional intensity.",https://cdn.dc5.ro/img-prod/25725268-0-240.jpeg,
71,On the Heights of Despair,Emil Cioran,5,Philosophy,"Dark, poetic meditations on suffering, death, and existential despair, written in Cioran’s early years with raw, lyrical intensity.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1649640807i/117566.jpg,
72,The Myth of Sisyphus,,4,Philosophy,"A philosophical essay arguing that life’s absurdity must be embraced without appeal to religion or reason, concluding with the image of Sisyphus defying despair.",https://s1.cel.ro/images/mari/2024/04/27/the-myth-of-sisyphus-albert-camus-author-32344801.jpg,
73,The Odyssey,Homer,4,Poetry,"Odysseus’ epic journey home after the Trojan War, facing monsters, gods, and trials in a tale of heroism, cunning, and endurance.",https://m.media-amazon.com/images/I/81g0AATkO9L.jpg,
74,The Iliad,Homer,5,Poetry,"A dramatic epic of the Trojan War, focusing on Achilles’ rage, glory, and fate amidst divine meddling and brutal combat.",https://i4.books-express.ro/be/9781324076148/the-iliad.jpg,
75,Man and His Symbols,Carl Jung,5,Psychology,"Jung’s accessible exploration of dreams, archetypes, and the unconscious, revealing how symbols shape the psyche and the process of individuation.",https://cdn4.libris.ro/img/pozeprod/28718/28717745-1.jpg,
76,The Interpretation of Dreams,Sigmund Freud,5,Psychology,"Freud’s seminal work introducing dream analysis, the unconscious mind, and wish fulfillment, foundational to psychoanalysis.",https://d28hgpri8am2if.cloudfront.net/book_images/onix/cvr9781839641480/the-interpretation-of-dreams-9781839641480_hr.jpg,
77,Self-Efficacy,Albert Bandura,5,Psychology,"Bandura explores how belief in one’s capabilities influences motivation, learning, and achievement, shaping modern psychology and education theor",https://i.ebayimg.com/images/g/AHsAAOSwD71gcXgx/s-l1200.jpg,
78,A History of Christianity,Diarmaid MacCulloch,4,Religion,"A sweeping history of Christianity’s global evolution, covering theological debates, schisms, cultural impacts, and its enduring legacy.",https://i4.books-express.ro/be/9780141021898/a-history-of-christianity.jpg,
79,Miracles and Wonder,Elaine Pagels,2,Religion,"A scholarly yet accessible exploration of early Christian texts, mysticism, and the role of miracles in shaping religious thought and belief.","https://m.media-amazon.com/images/I/81tfS8VZCUL._AC_UF1000,1000_QL80_.jpg",
80,Wish You  Were  Here,,10,Romance,"A woman’s life unravels during the pandemic, confronting identity, love, and change while stranded in the Galápagos in this emotional, introspective nove",https://m.media-amazon.com/images/I/717iSJ4MxrL._SL1500_.jpg,
81,After,Anna Todd,12,Romance,"A college romance between good girl Tessa and brooding Hardin, filled with passion, drama, and emotional turmoil, born from fanfiction roots.","https://m.media-amazon.com/images/I/81gCYSA46GL._AC_UF1000,1000_QL80_.jpg",
83,Bride,Ali Hazelwood,10,Romance,"A paranormal romance where a vampire bride must ally with a werewolf prince in a dangerous world of magic, politics, and forbidden love.",https://cdn.dc5.ro/img-prod/2889927927-0.jpeg,
84,Introduction to Quantum Mechanics,"David Griffiths,Darrel Schroeter",4,Science,"A widely used textbook offering a clear, rigorous introduction to the principles and mathematics of quantum mechanics.",https://i3.books-express.ro/be/9781107189638/introduction-to-quantum-mechanics.jpg,
85,The Science Book,National Geographic,5,Science,"A visual, concise guide to key scientific discoveries, theories, and innovators, making complex science approachable for general readers.",https://m.media-amazon.com/images/I/71UBxCerDPL._SL1200_.jpg,
86,The Idea of the Brain,Matthew Cobb,6,Science,"Traces how our understanding of the brain evolved, revealing how metaphors shaped neuroscience and why we still don’t fully grasp the mind",https://cdn.dc5.ro/img-prod/880846758-0-240.jpeg,
87,Bird Watching for Dummies,Bill Thompson III,4,Science,"A beginner’s guide to birding, offering tips on spotting, identifying, and enjoying birds in their natural habitats with accessible advice.",https://m.media-amazon.com/images/I/71hSPp06pwL._SL1360_.jpg,
88,A Brief History of Time,Stephen Hawking,4,Science,"An accessible overview of cosmology, black holes, time, and the universe’s origins, blending science with big philosophical questions.",https://cdn.dc5.ro/img-prod/160328-0-240.jpeg,
89,"Thinking, Fast and Slow",Daniel Kahneman,5,Science,"A deep dive into human decision-making, exploring the two systems of thought—fast, intuitive and slow, analytical—and their impact on bias and judgment.
",https://cdn.dc5.ro/img-prod/170905-0.jpeg,
90,Ikigai,"Hector Garcia, Francesc Miralles",5,Self Improvement,"A look into the Japanese concept of purpose, blending philosophy, lifestyle, and longevity secrets from Okinawa to inspire a meaningful life.",https://libris.to/media/jacket/15978687_ikigai.jpg,
91,Atomic Habits,James Clear,5,Self Improvement,"Practical strategies for building good habits and breaking bad ones, emphasizing small changes and systems for long-term success.",https://m.media-amazon.com/images/I/81F90H7hnML._SL1500_.jpg,
92,The Daily Stoic,Ryan Holiday,5,Self Improvement,"A year-long guide offering daily meditations from Stoic philosophers, applying ancient wisdom to modern life with clarity and discipline.",https://m.media-amazon.com/images/I/81GatW-O58L._SL1500_.jpg,
93,The Mountain is You,Brianna Wiest,5,Self Improvement,"An empowering guide to overcoming self-sabotage, embracing transformation, and reclaiming emotional strength through self-awareness and inner healing.",https://m.media-amazon.com/images/I/71AHFDEpkdL._SL1500_.jpg,
